Plant,Time,Daily yield(kWh),Real-time power(kW),Daily feed-in energy(kWh),Energy purchased today(kWh)
PlantID OwnerID,20250101,11.7,2.433,,
PlantID OwnerID,20250102,12.5,2.57,,
PlantID OwnerID,20250103,12.7,2.724,,
PlantID OwnerID,20250104,10.5,2.646,,
PlantID OwnerID,20250105,11.1,2.507,,
PlantID OwnerID,20250106,10.1,2.177,,
PlantID OwnerID,20250107,11.3,2.419,,
PlantID OwnerID,20250108,10.9,2.331,,
PlantID OwnerID,20250109,11,2.359,,
PlantID OwnerID,20250110,9.8,1.962,,
PlantID OwnerID,20250111,7.6,1.758,,
PlantID OwnerID,20250112,8.4,1.841,,
PlantID OwnerID,20250113,10,2.171,,
PlantID OwnerID,20250114,8.4,2.114,,
PlantID OwnerID,20250115,8.4,2.461,,
PlantID OwnerID,20250116,9.2,2.305,,
PlantID OwnerID,20250117,10,2.142,,
PlantID OwnerID,20250118,12.9,2.674,,
PlantID OwnerID,20250119,12.6,2.648,,
PlantID OwnerID,20250120,2.3,2.314,,
PlantID OwnerID,20250121,21.6,2.488,,
PlantID OwnerID,20250122,11.6,2.658,,
PlantID OwnerID,20250123,11.3,2.58,,
PlantID OwnerID,20250124,11.3,2.601,,
PlantID OwnerID,20250125,11.9,2.622,,
PlantID OwnerID,20250126,12.2,2.795,,
PlantID OwnerID,20250127,11.8,2.794,,
PlantID OwnerID,20250128,10.5,2.6,,
PlantID OwnerID,20250129,12.3,2.627,,
PlantID OwnerID,20250130,11.9,2.725,,
PlantID OwnerID,20250131,13.1,2.616,,
PlantID OwnerID,20250201,13,2.681,,
PlantID OwnerID,20250202,10.7,2.552,,
PlantID OwnerID,20250203,11.6,2.562,,
PlantID OwnerID,20250204,12.2,2.677,,
PlantID OwnerID,20250205,11.6,2.55,,
PlantID OwnerID,20250206,11.4,2.541,,
PlantID OwnerID,20250207,10.8,2.537,,
PlantID OwnerID,20250208,10.8,2.411,,
PlantID OwnerID,20250209,10.3,2.264,,
PlantID OwnerID,20250210,11.1,2.291,,
PlantID OwnerID,20250211,13.4,2.731,,
PlantID OwnerID,20250212,14.5,2.993,,
PlantID OwnerID,20250213,14.6,3.024,,
PlantID OwnerID,20250214,14,2.949,,
PlantID OwnerID,20250215,14.2,3.096,,
PlantID OwnerID,20250216,13.6,3.046,,
PlantID OwnerID,20250217,12.9,2.824,,
PlantID OwnerID,20250218,13.1,2.764,,
PlantID OwnerID,20250219,13.2,2.768,,
PlantID OwnerID,20250220,13.3,2.792,,
PlantID OwnerID,20250221,13.8,2.824,,
PlantID OwnerID,20250222,14.4,3.032,,
PlantID OwnerID,20250223,14.5,3.027,,
PlantID OwnerID,20250224,14.2,2.964,,
PlantID OwnerID,20250225,14,2.99,,
PlantID OwnerID,20250226,13.8,2.848,,
PlantID OwnerID,20250227,14.1,2.867,,
PlantID OwnerID,20250228,12.6,2.708,,
PlantID OwnerID,20250301,12.2,2.756,,
PlantID OwnerID,20250302,12.7,2.584,,
PlantID OwnerID,20250303,12,2.755,,
PlantID OwnerID,20250304,13.8,3.062,,
PlantID OwnerID,20250305,13.6,2.89,,
PlantID OwnerID,20250306,15,3.007,,
PlantID OwnerID,20250307,14.9,2.925,,
PlantID OwnerID,20250308,13.3,2.712,,
PlantID OwnerID,20250309,14.7,2.943,,
PlantID OwnerID,20250310,13.5,2.632,,
PlantID OwnerID,20250311,14,2.74,,
PlantID OwnerID,20250312,13.7,2.861,,
PlantID OwnerID,20250313,12.4,2.667,,
PlantID OwnerID,20250314,13.1,2.524,,
PlantID OwnerID,20250315,13.5,2.572,,
PlantID OwnerID,20250316,13.6,2.5,,
PlantID OwnerID,20250317,14.2,2.813,,
PlantID OwnerID,20250318,13.5,2.703,,
PlantID OwnerID,20250319,16.1,3.073,,
PlantID OwnerID,20250320,16.5,3.145,,
PlantID OwnerID,20250321,16.3,3.102,,
PlantID OwnerID,20250322,16.2,3.022,,
PlantID OwnerID,20250323,15.8,3.008,,
PlantID OwnerID,20250324,15.1,2.922,,
PlantID OwnerID,20250325,14.5,2.915,,
PlantID OwnerID,20250326,14.3,2.855,,
PlantID OwnerID,20250327,15.8,2.983,,
PlantID OwnerID,20250328,14.8,2.864,,
PlantID OwnerID,20250329,12.3,2.699,,
PlantID OwnerID,20250330,12,2.514,,
PlantID OwnerID,20250331,11.1,2.163,,
PlantID OwnerID,20250401,7.5,1.91,,
PlantID OwnerID,20250402,14.2,2.651,,
PlantID OwnerID,20250403,10.7,2.651,,
PlantID OwnerID,20250404,13.7,3.046,,
PlantID OwnerID,20250405,15.2,2.947,,
PlantID OwnerID,20250406,15.4,2.997,,
PlantID OwnerID,20250407,15.3,3.01,,
PlantID OwnerID,20250408,15.3,2.985,,
PlantID OwnerID,20250409,15.1,2.841,,
PlantID OwnerID,20250410,15.3,2.833,,
PlantID OwnerID,20250411,15.8,3.187,,
PlantID OwnerID,20250412,17.1,3.155,,
PlantID OwnerID,20250413,10.6,3.179,,
PlantID OwnerID,20250414,16.5,3.098,,
PlantID OwnerID,20250415,16.1,3.042,,
PlantID OwnerID,20250416,15.6,3.085,,
PlantID OwnerID,20250417,15.4,2.949,,
PlantID OwnerID,20250418,15.5,2.863,,
PlantID OwnerID,20250419,16.1,2.99,,
PlantID OwnerID,20250420,16.9,3.34,,
PlantID OwnerID,20250421,16.8,3.001,,
PlantID OwnerID,20250422,14.8,2.876,,
PlantID OwnerID,20250423,15.9,3.21,,
PlantID OwnerID,20250424,16.7,2.918,,
PlantID OwnerID,20250425,14.7,2.846,,
PlantID OwnerID,20250426,14.3,2.874,,
PlantID OwnerID,20250427,15.8,2.975,,
PlantID OwnerID,20250428,15.8,2.992,,
PlantID OwnerID,20250429,15.6,2.937,,
PlantID OwnerID,20250430,16.8,2.99,,
PlantID OwnerID,20250501,15.9,2.914,,
PlantID OwnerID,20250502,16.3,2.989,,
PlantID OwnerID,20250503,16.4,2.955,,
PlantID OwnerID,20250504,16.8,3.044,,
PlantID OwnerID,20250505,16.4,2.926,,
PlantID OwnerID,20250506,16.9,3.004,,
PlantID OwnerID,20250507,15.3,3.497,,
PlantID OwnerID,20250508,13.6,3.432,,
PlantID OwnerID,20250509,6.9,3.871,,
PlantID OwnerID,20250510,11.7,3.609,,
PlantID OwnerID,20250511,9.9,3.627,,
PlantID OwnerID,20250512,6.1,3.074,,
PlantID OwnerID,20250513,4.3,1.179,,
PlantID OwnerID,20250514,10.1,3.822,,
PlantID OwnerID,20250515,0,0,,
PlantID OwnerID,20250516,4.9,3.113,,
PlantID OwnerID,20250517,15.6,3.896,,
PlantID OwnerID,20250518,12.3,3.381,,
PlantID OwnerID,20250519,11.4,3.339,,
PlantID OwnerID,20250520,9.7,3.149,,
PlantID OwnerID,20250521,9.5,2.536,,
PlantID OwnerID,20250522,5.8,1.708,,
PlantID OwnerID,20250523,0.5,0.708,,
PlantID OwnerID,20250524,5.6,1.642,,
PlantID OwnerID,20250525,5.9,2.009,,
PlantID OwnerID,20250526,5.8,1.977,,
PlantID OwnerID,20250527,1.7,0.746,,
PlantID OwnerID,20250528,9.6,3.321,,
PlantID OwnerID,20250529,14.7,3.088,,
PlantID OwnerID,20250530,16.7,3.27,,
PlantID OwnerID,20250531,5.5,2.74,,
PlantID OwnerID,20250601,9.4,0.705,,